name and surname,preferences
Alexia Douglas,"['Delivery', 'Cleaning', 'Waiter', 'Shop clerk']"
Sydney Crawford,"['Delivery', 'Waiter', 'Shop clerk', 'Cleaning']"
Eddy Johnson,"['Cleaning', 'Shop clerk', 'Waiter', 'Delivery']"
Adrian Evans,"['Delivery', 'Shop clerk', 'Cleaning', 'Waiter']"
Derek Howard,"['Delivery', 'Waiter', 'Shop clerk', 'Cleaning']"
Sydney Murray,"['Shop clerk', 'Delivery', 'Cleaning', 'Waiter']"
Clark Murray,"['Shop clerk', 'Delivery', 'Cleaning', 'Waiter']"
Amelia Harrison,"['Shop clerk', 'Cleaning', 'Waiter', 'Delivery']"
Oliver Howard,"['Delivery', 'Waiter', 'Cleaning', 'Shop clerk']"
Penelope Harper,"['Waiter', 'Delivery', 'Cleaning', 'Shop clerk']"
Valeria Holmes,"['Cleaning', 'Delivery', 'Waiter', 'Shop clerk']"
Penelope Murphy,"['Delivery', 'Shop clerk', 'Waiter', 'Cleaning']"
Lyndon Johnson,"['Waiter', 'Shop clerk', 'Delivery', 'Cleaning']"
Spike Murphy,"['Shop clerk', 'Waiter', 'Delivery', 'Cleaning']"
Camila Hall,"['Waiter', 'Cleaning', 'Delivery', 'Shop clerk']"
Hailey Kelley,"['Waiter', 'Delivery', 'Shop clerk', 'Cleaning']"
Alen Ellis,"['Shop clerk', 'Delivery', 'Cleaning', 'Waiter']"
Julian Nelson,"['Cleaning', 'Waiter', 'Delivery', 'Shop clerk']"
Tiana Baker,"['Waiter', 'Cleaning', 'Shop clerk', 'Delivery']"
Reid Foster,"['Delivery', 'Cleaning', 'Shop clerk', 'Waiter']"
Daryl Moore,"['Delivery', 'Waiter', 'Shop clerk', 'Cleaning']"
Savana Douglas,"['Cleaning', 'Delivery', 'Shop clerk', 'Waiter']"
Marcus Stevens,"['Shop clerk', 'Waiter', 'Delivery', 'Cleaning']"
James Morgan,"['Delivery', 'Cleaning', 'Shop clerk', 'Waiter']"
Amber Alexander,"['Waiter', 'Cleaning', 'Shop clerk', 'Delivery']"
Kate Brooks,"['Waiter', 'Cleaning', 'Shop clerk', 'Delivery']"
Reid Nelson,"['Waiter', 'Delivery', 'Shop clerk', 'Cleaning']"
Charlie Ryan,"['Waiter', 'Delivery', 'Shop clerk', 'Cleaning']"
Caroline Myers,"['Cleaning', 'Waiter', 'Shop clerk', 'Delivery']"
Jasmine Owens,"['Delivery', 'Cleaning', 'Waiter', 'Shop clerk']"
Preston Johnston,"['Waiter', 'Delivery', 'Cleaning', 'Shop clerk']"
Annabella Barnes,"['Delivery', 'Cleaning', 'Waiter', 'Shop clerk']"
James Gibson,"['Shop clerk', 'Cleaning', 'Waiter', 'Delivery']"
Penelope Spencer,"['Delivery', 'Cleaning', 'Waiter', 'Shop clerk']"
Julian Jones,"['Cleaning', 'Waiter', 'Delivery', 'Shop clerk']"
Luke Myers,"['Shop clerk', 'Cleaning', 'Delivery', 'Waiter']"
Bruce Payne,"['Waiter', 'Cleaning', 'Delivery', 'Shop clerk']"
Nicole Richardson,"['Delivery', 'Shop clerk', 'Waiter', 'Cleaning']"
Ellia Craig,"['Waiter', 'Delivery', 'Shop clerk', 'Cleaning']"
Ada Cameron,"['Shop clerk', 'Waiter', 'Cleaning', 'Delivery']"
Melanie Armstrong,"['Delivery', 'Waiter', 'Cleaning', 'Shop clerk']"
Amanda Wells,"['Shop clerk', 'Cleaning', 'Waiter', 'Delivery']"
Miley Johnston,"['Waiter', 'Delivery', 'Shop clerk', 'Cleaning']"
Justin Montgomery,"['Cleaning', 'Delivery', 'Shop clerk', 'Waiter']"
Byron Taylor,"['Waiter', 'Delivery', 'Shop clerk', 'Cleaning']"
Aida Payne,"['Shop clerk', 'Cleaning', 'Delivery', 'Waiter']"
Cadie Harrison,"['Cleaning', 'Shop clerk', 'Delivery', 'Waiter']"
Amy Parker,"['Delivery', 'Waiter', 'Cleaning', 'Shop clerk']"
Maddie Roberts,"['Waiter', 'Delivery', 'Shop clerk', 'Cleaning']"
Dominik Thomas,"['Delivery', 'Cleaning', 'Waiter', 'Shop clerk']"
Alexia Williams,"['Shop clerk', 'Cleaning', 'Waiter', 'Delivery']"
Nicholas Moore,"['Delivery', 'Shop clerk', 'Cleaning', 'Waiter']"
Maria Bailey,"['Delivery', 'Waiter', 'Cleaning', 'Shop clerk']"
Antony Gibson,"['Cleaning', 'Delivery', 'Shop clerk', 'Waiter']"
Vincent Barrett,"['Delivery', 'Cleaning', 'Waiter', 'Shop clerk']"
Antony Perkins,"['Delivery', 'Waiter', 'Shop clerk', 'Cleaning']"
Paul Holmes,"['Shop clerk', 'Cleaning', 'Waiter', 'Delivery']"
Dale Kelly,"['Cleaning', 'Delivery', 'Waiter', 'Shop clerk']"
Steven Barrett,"['Delivery', 'Waiter', 'Cleaning', 'Shop clerk']"
Preston Adams,"['Waiter', 'Shop clerk', 'Delivery', 'Cleaning']"
Dale Ellis,"['Delivery', 'Waiter', 'Cleaning', 'Shop clerk']"
Paige Warren,"['Cleaning', 'Delivery', 'Shop clerk', 'Waiter']"
Charlie Parker,"['Waiter', 'Delivery', 'Shop clerk', 'Cleaning']"
Lily Wright,"['Delivery', 'Waiter', 'Shop clerk', 'Cleaning']"
Tess Perry,"['Delivery', 'Waiter', 'Shop clerk', 'Cleaning']"
Adele Cooper,"['Cleaning', 'Shop clerk', 'Delivery', 'Waiter']"
Eddy Murray,"['Waiter', 'Shop clerk', 'Delivery', 'Cleaning']"
Nicole Andrews,"['Waiter', 'Cleaning', 'Delivery', 'Shop clerk']"
Lana Morris,"['Shop clerk', 'Cleaning', 'Waiter', 'Delivery']"
Annabella Adams,"['Waiter', 'Cleaning', 'Delivery', 'Shop clerk']"
Joyce Edwards,"['Cleaning', 'Shop clerk', 'Delivery', 'Waiter']"
Tyler Ross,"['Waiter', 'Cleaning', 'Delivery', 'Shop clerk']"
Byron Campbell,"['Delivery', 'Cleaning', 'Waiter', 'Shop clerk']"
Violet Wells,"['Waiter', 'Cleaning', 'Shop clerk', 'Delivery']"
Lana Foster,"['Delivery', 'Shop clerk', 'Cleaning', 'Waiter']"
Maya Walker,"['Delivery', 'Cleaning', 'Waiter', 'Shop clerk']"
Melissa Wilson,"['Cleaning', 'Shop clerk', 'Delivery', 'Waiter']"
Sienna Casey,"['Waiter', 'Shop clerk', 'Delivery', 'Cleaning']"
Justin Williams,"['Delivery', 'Shop clerk', 'Waiter', 'Cleaning']"
Jordan Williams,"['Delivery', 'Waiter', 'Cleaning', 'Shop clerk']"
Savana Adams,"['Cleaning', 'Waiter', 'Shop clerk', 'Delivery']"
Charlotte Wells,"['Cleaning', 'Waiter', 'Shop clerk', 'Delivery']"
Lucy Cunningham,"['Waiter', 'Delivery', 'Cleaning', 'Shop clerk']"
Kelsey Cole,"['Waiter', 'Shop clerk', 'Delivery', 'Cleaning']"
Alissa Mason,"['Delivery', 'Waiter', 'Cleaning', 'Shop clerk']"
Amelia Hawkins,"['Waiter', 'Shop clerk', 'Cleaning', 'Delivery']"
Charlotte Bailey,"['Waiter', 'Delivery', 'Shop clerk', 'Cleaning']"
Sofia Warren,"['Cleaning', 'Waiter', 'Delivery', 'Shop clerk']"
Brooke Martin,"['Waiter', 'Shop clerk', 'Cleaning', 'Delivery']"
Savana Spencer,"['Waiter', 'Shop clerk', 'Delivery', 'Cleaning']"
Lana Higgins,"['Waiter', 'Delivery', 'Shop clerk', 'Cleaning']"
Eddy Armstrong,"['Cleaning', 'Shop clerk', 'Waiter', 'Delivery']"
Caroline Douglas,"['Shop clerk', 'Waiter', 'Delivery', 'Cleaning']"
James Hill,"['Waiter', 'Cleaning', 'Delivery', 'Shop clerk']"
Naomi Williams,"['Waiter', 'Shop clerk', 'Cleaning', 'Delivery']"
Stella Crawford,"['Waiter', 'Cleaning', 'Shop clerk', 'Delivery']"
Arnold Johnston,"['Waiter', 'Shop clerk', 'Delivery', 'Cleaning']"
Lyndon Carter,"['Waiter', 'Delivery', 'Shop clerk', 'Cleaning']"
Lily Ellis,"['Cleaning', 'Waiter', 'Shop clerk', 'Delivery']"
Amy Martin,"['Delivery', 'Shop clerk', 'Waiter', 'Cleaning']"
Aldus Andrews,"['Delivery', 'Shop clerk', 'Waiter', 'Cleaning']"
Belinda Harrison,"['Shop clerk', 'Delivery', 'Waiter', 'Cleaning']"
Vivian Perry,"['Waiter', 'Cleaning', 'Shop clerk', 'Delivery']"
Paul Wilson,"['Delivery', 'Cleaning', 'Waiter', 'Shop clerk']"
Kellan Anderson,"['Waiter', 'Shop clerk', 'Cleaning', 'Delivery']"
Sydney Cole,"['Waiter', 'Delivery', 'Cleaning', 'Shop clerk']"
Preston Robinson,"['Waiter', 'Shop clerk', 'Delivery', 'Cleaning']"
Nicholas Edwards,"['Shop clerk', 'Waiter', 'Delivery', 'Cleaning']"
Alfred Baker,"['Waiter', 'Delivery', 'Cleaning', 'Shop clerk']"
Antony Barnes,"['Waiter', 'Shop clerk', 'Cleaning', 'Delivery']"
Brad Hall,"['Cleaning', 'Delivery', 'Waiter', 'Shop clerk']"
Aston Carter,"['Cleaning', 'Waiter', 'Shop clerk', 'Delivery']"
Carlos Payne,"['Waiter', 'Delivery', 'Shop clerk', 'Cleaning']"
Harold Perry,"['Shop clerk', 'Delivery', 'Waiter', 'Cleaning']"
Arthur Wells,"['Delivery', 'Waiter', 'Shop clerk', 'Cleaning']"
Adelaide Allen,"['Cleaning', 'Delivery', 'Shop clerk', 'Waiter']"
Julian Holmes,"['Delivery', 'Cleaning', 'Waiter', 'Shop clerk']"
Lilianna Moore,"['Shop clerk', 'Waiter', 'Cleaning', 'Delivery']"
Tess Reed,"['Cleaning', 'Delivery', 'Waiter', 'Shop clerk']"
Evelyn Elliott,"['Shop clerk', 'Waiter', 'Delivery', 'Cleaning']"
Antony Johnston,"['Waiter', 'Shop clerk', 'Cleaning', 'Delivery']"
Agata Elliott,"['Cleaning', 'Shop clerk', 'Waiter', 'Delivery']"
Grace Morris,"['Cleaning', 'Waiter', 'Delivery', 'Shop clerk']"
Camila Parker,"['Delivery', 'Cleaning', 'Waiter', 'Shop clerk']"
Edwin Foster,"['Shop clerk', 'Waiter', 'Delivery', 'Cleaning']"
Nicole Bennett,"['Waiter', 'Delivery', 'Cleaning', 'Shop clerk']"
Aldus Brooks,"['Shop clerk', 'Waiter', 'Delivery', 'Cleaning']"
Agata Payne,"['Shop clerk', 'Waiter', 'Cleaning', 'Delivery']"
Sam Harrison,"['Waiter', 'Cleaning', 'Shop clerk', 'Delivery']"
Hailey Richards,"['Waiter', 'Shop clerk', 'Cleaning', 'Delivery']"
Kelvin Cameron,"['Delivery', 'Waiter', 'Shop clerk', 'Cleaning']"
Lyndon Owens,"['Delivery', 'Shop clerk', 'Cleaning', 'Waiter']"
Lucy Hunt,"['Shop clerk', 'Waiter', 'Cleaning', 'Delivery']"
Valeria Payne,"['Shop clerk', 'Waiter', 'Delivery', 'Cleaning']"
Charlotte Rogers,"['Delivery', 'Cleaning', 'Shop clerk', 'Waiter']"
Harold Mason,"['Shop clerk', 'Cleaning', 'Delivery', 'Waiter']"
Aston Kelly,"['Delivery', 'Waiter', 'Cleaning', 'Shop clerk']"
Abigail Edwards,"['Waiter', 'Shop clerk', 'Cleaning', 'Delivery']"
Justin Armstrong,"['Cleaning', 'Waiter', 'Delivery', 'Shop clerk']"
Samantha Johnston,"['Cleaning', 'Shop clerk', 'Waiter', 'Delivery']"
Lenny Hawkins,"['Delivery', 'Waiter', 'Cleaning', 'Shop clerk']"
Sydney Richardson,"['Delivery', 'Cleaning', 'Waiter', 'Shop clerk']"
Catherine Ross,"['Shop clerk', 'Waiter', 'Cleaning', 'Delivery']"
Naomi Walker,"['Cleaning', 'Shop clerk', 'Waiter', 'Delivery']"
Amber Edwards,"['Shop clerk', 'Delivery', 'Cleaning', 'Waiter']"
Sofia Harper,"['Delivery', 'Cleaning', 'Waiter', 'Shop clerk']"
Madaline Hall,"['Waiter', 'Delivery', 'Cleaning', 'Shop clerk']"
Dainton Holmes,"['Shop clerk', 'Delivery', 'Waiter', 'Cleaning']"
Naomi Kelley,"['Cleaning', 'Delivery', 'Waiter', 'Shop clerk']"
Reid Walker,"['Delivery', 'Shop clerk', 'Waiter', 'Cleaning']"
Dainton Baker,"['Waiter', 'Shop clerk', 'Cleaning', 'Delivery']"
Alexia Riley,"['Waiter', 'Shop clerk', 'Cleaning', 'Delivery']"
Owen Cooper,"['Cleaning', 'Delivery', 'Waiter', 'Shop clerk']"
Tyler Fowler,"['Waiter', 'Delivery', 'Cleaning', 'Shop clerk']"
John Foster,"['Waiter', 'Cleaning', 'Delivery', 'Shop clerk']"
Chester Ryan,"['Cleaning', 'Waiter', 'Shop clerk', 'Delivery']"
Kellan Harris,"['Waiter', 'Shop clerk', 'Cleaning', 'Delivery']"
Alissa Scott,"['Cleaning', 'Delivery', 'Waiter', 'Shop clerk']"
Vivian Barrett,"['Cleaning', 'Waiter', 'Shop clerk', 'Delivery']"
Brianna Alexander,"['Cleaning', 'Shop clerk', 'Waiter', 'Delivery']"
James Moore,"['Waiter', 'Delivery', 'Shop clerk', 'Cleaning']"
Carina Riley,"['Delivery', 'Waiter', 'Shop clerk', 'Cleaning']"
Haris Barnes,"['Shop clerk', 'Cleaning', 'Delivery', 'Waiter']"
Michelle Jones,"['Shop clerk', 'Delivery', 'Cleaning', 'Waiter']"
Camila Thomas,"['Shop clerk', 'Cleaning', 'Waiter', 'Delivery']"
Lucas Warren,"['Cleaning', 'Shop clerk', 'Delivery', 'Waiter']"
Gianna Warren,"['Delivery', 'Waiter', 'Cleaning', 'Shop clerk']"
Daniel Harrison,"['Delivery', 'Waiter', 'Shop clerk', 'Cleaning']"
Albert Hill,"['Shop clerk', 'Waiter', 'Cleaning', 'Delivery']"
Alisa Bailey,"['Waiter', 'Shop clerk', 'Cleaning', 'Delivery']"
David Watson,"['Cleaning', 'Delivery', 'Waiter', 'Shop clerk']"
Ted Bailey,"['Shop clerk', 'Cleaning', 'Waiter', 'Delivery']"
Sydney Henderson,"['Delivery', 'Cleaning', 'Shop clerk', 'Waiter']"
Oliver Jones,"['Waiter', 'Delivery', 'Shop clerk', 'Cleaning']"
Carlos Stewart,"['Cleaning', 'Delivery', 'Waiter', 'Shop clerk']"
Nicholas Harrison,"['Cleaning', 'Delivery', 'Shop clerk', 'Waiter']"
Kevin Grant,"['Waiter', 'Delivery', 'Cleaning', 'Shop clerk']"
Heather Elliott,"['Waiter', 'Cleaning', 'Delivery', 'Shop clerk']"
Vincent Montgomery,"['Waiter', 'Shop clerk', 'Delivery', 'Cleaning']"
Julian Carter,"['Waiter', 'Cleaning', 'Delivery', 'Shop clerk']"
Alan Turner,"['Shop clerk', 'Waiter', 'Delivery', 'Cleaning']"
Adison Taylor,"['Shop clerk', 'Delivery', 'Waiter', 'Cleaning']"
Emily Carroll,"['Shop clerk', 'Cleaning', 'Delivery', 'Waiter']"
Violet Perry,"['Delivery', 'Shop clerk', 'Waiter', 'Cleaning']"
Heather Robinson,"['Shop clerk', 'Waiter', 'Cleaning', 'Delivery']"
Antony Edwards,"['Delivery', 'Waiter', 'Cleaning', 'Shop clerk']"
Alford Harrison,"['Delivery', 'Waiter', 'Cleaning', 'Shop clerk']"
Kirsten Warren,"['Cleaning', 'Waiter', 'Shop clerk', 'Delivery']"
Anna Morris,"['Cleaning', 'Delivery', 'Waiter', 'Shop clerk']"
Adrianna Reed,"['Cleaning', 'Waiter', 'Shop clerk', 'Delivery']"
Spike Cameron,"['Waiter', 'Delivery', 'Shop clerk', 'Cleaning']"
Deanna Warren,"['Shop clerk', 'Delivery', 'Waiter', 'Cleaning']"
Jasmine West,"['Shop clerk', 'Delivery', 'Cleaning', 'Waiter']"
Julia Evans,"['Waiter', 'Shop clerk', 'Delivery', 'Cleaning']"
Lucia Roberts,"['Waiter', 'Cleaning', 'Delivery', 'Shop clerk']"
Amelia Sullivan,"['Shop clerk', 'Waiter', 'Delivery', 'Cleaning']"
Maya Sullivan,"['Cleaning', 'Waiter', 'Shop clerk', 'Delivery']"
Lenny Thompson,"['Cleaning', 'Delivery', 'Shop clerk', 'Waiter']"
Sam Baker,"['Waiter', 'Shop clerk', 'Cleaning', 'Delivery']"
Chester Howard,"['Waiter', 'Cleaning', 'Shop clerk', 'Delivery']"
Jenna Thomas,"['Shop clerk', 'Delivery', 'Waiter', 'Cleaning']"
Andrew Hawkins,"['Cleaning', 'Shop clerk', 'Delivery', 'Waiter']"
Edward Johnson,"['Waiter', 'Delivery', 'Cleaning', 'Shop clerk']"
Kelvin Bennett,"['Cleaning', 'Waiter', 'Delivery', 'Shop clerk']"
Hailey Baker,"['Delivery', 'Cleaning', 'Waiter', 'Shop clerk']"
Justin Davis,"['Shop clerk', 'Waiter', 'Delivery', 'Cleaning']"
Sawyer Tucker,"['Cleaning', 'Delivery', 'Shop clerk', 'Waiter']"
Emily Howard,"['Delivery', 'Waiter', 'Cleaning', 'Shop clerk']"
Alford Montgomery,"['Delivery', 'Waiter', 'Cleaning', 'Shop clerk']"
Henry Harris,"['Shop clerk', 'Delivery', 'Cleaning', 'Waiter']"
Lucas Kelley,"['Waiter', 'Shop clerk', 'Cleaning', 'Delivery']"
Annabella Farrell,"['Cleaning', 'Shop clerk', 'Delivery', 'Waiter']"
Grace Martin,"['Shop clerk', 'Waiter', 'Delivery', 'Cleaning']"
Leonardo Henderson,"['Delivery', 'Cleaning', 'Shop clerk', 'Waiter']"
Natalie Casey,"['Waiter', 'Cleaning', 'Shop clerk', 'Delivery']"
Jenna Fowler,"['Cleaning', 'Delivery', 'Shop clerk', 'Waiter']"
Alford Bennett,"['Delivery', 'Shop clerk', 'Waiter', 'Cleaning']"
Alissa Owens,"['Shop clerk', 'Cleaning', 'Waiter', 'Delivery']"
Tess Adams,"['Waiter', 'Delivery', 'Cleaning', 'Shop clerk']"
Sawyer Cole,"['Cleaning', 'Delivery', 'Shop clerk', 'Waiter']"
Carl Armstrong,"['Cleaning', 'Waiter', 'Delivery', 'Shop clerk']"
Dominik Foster,"['Waiter', 'Shop clerk', 'Delivery', 'Cleaning']"
Emily Kelly,"['Delivery', 'Shop clerk', 'Waiter', 'Cleaning']"
Mike Holmes,"['Waiter', 'Delivery', 'Shop clerk', 'Cleaning']"
Eleanor Cunningham,"['Shop clerk', 'Delivery', 'Waiter', 'Cleaning']"
Daryl Thompson,"['Delivery', 'Shop clerk', 'Waiter', 'Cleaning']"
Grace Johnson,"['Delivery', 'Shop clerk', 'Cleaning', 'Waiter']"
Audrey Clark,"['Cleaning', 'Delivery', 'Waiter', 'Shop clerk']"
Aiden Gray,"['Delivery', 'Shop clerk', 'Waiter', 'Cleaning']"
Adrianna Allen,"['Shop clerk', 'Cleaning', 'Waiter', 'Delivery']"
Natalie Howard,"['Delivery', 'Waiter', 'Cleaning', 'Shop clerk']"
Isabella Hawkins,"['Shop clerk', 'Waiter', 'Cleaning', 'Delivery']"
Adam Hawkins,"['Shop clerk', 'Cleaning', 'Waiter', 'Delivery']"
Alexia Johnston,"['Shop clerk', 'Waiter', 'Delivery', 'Cleaning']"
Adam Anderson,"['Waiter', 'Delivery', 'Cleaning', 'Shop clerk']"
Valeria Wright,"['Delivery', 'Shop clerk', 'Waiter', 'Cleaning']"
Adam Ross,"['Shop clerk', 'Waiter', 'Cleaning', 'Delivery']"
Valeria Murray,"['Waiter', 'Shop clerk', 'Delivery', 'Cleaning']"
Amelia Wright,"['Waiter', 'Shop clerk', 'Delivery', 'Cleaning']"
Alexander Edwards,"['Delivery', 'Waiter', 'Cleaning', 'Shop clerk']"
Lydia Riley,"['Shop clerk', 'Delivery', 'Waiter', 'Cleaning']"
Agata Moore,"['Shop clerk', 'Delivery', 'Cleaning', 'Waiter']"
Nicholas Lloyd,"['Cleaning', 'Shop clerk', 'Waiter', 'Delivery']"
Melanie Bennett,"['Waiter', 'Delivery', 'Cleaning', 'Shop clerk']"
Henry Clark,"['Waiter', 'Cleaning', 'Delivery', 'Shop clerk']"
Connie Foster,"['Waiter', 'Shop clerk', 'Delivery', 'Cleaning']"
Oliver Johnson,"['Delivery', 'Cleaning', 'Shop clerk', 'Waiter']"
Aiden Armstrong,"['Shop clerk', 'Waiter', 'Cleaning', 'Delivery']"
Grace Russell,"['Delivery', 'Shop clerk', 'Cleaning', 'Waiter']"
Adison West,"['Cleaning', 'Delivery', 'Shop clerk', 'Waiter']"
Eric Wilson,"['Cleaning', 'Shop clerk', 'Waiter', 'Delivery']"
Byron Carroll,"['Cleaning', 'Shop clerk', 'Delivery', 'Waiter']"
Briony Wilson,"['Waiter', 'Shop clerk', 'Cleaning', 'Delivery']"
John Barnes,"['Delivery', 'Waiter', 'Cleaning', 'Shop clerk']"
Lucy Perkins,"['Shop clerk', 'Cleaning', 'Waiter', 'Delivery']"
Lyndon Payne,"['Delivery', 'Waiter', 'Cleaning', 'Shop clerk']"
Charlotte Brooks,"['Shop clerk', 'Cleaning', 'Waiter', 'Delivery']"
Valeria Anderson,"['Cleaning', 'Shop clerk', 'Delivery', 'Waiter']"
Frederick Hawkins,"['Delivery', 'Cleaning', 'Waiter', 'Shop clerk']"
Ned Morris,"['Waiter', 'Cleaning', 'Shop clerk', 'Delivery']"
Patrick Moore,"['Shop clerk', 'Waiter', 'Delivery', 'Cleaning']"
Haris Walker,"['Delivery', 'Shop clerk', 'Cleaning', 'Waiter']"
Frederick Dixon,"['Waiter', 'Shop clerk', 'Delivery', 'Cleaning']"
Eleanor Dixon,"['Delivery', 'Shop clerk', 'Cleaning', 'Waiter']"
Emily Spencer,"['Delivery', 'Waiter', 'Cleaning', 'Shop clerk']"
Tiana Chapman,"['Cleaning', 'Shop clerk', 'Waiter', 'Delivery']"
