,First Name,Last Name,Age,Number children,Degree,Experience,Years of unemployment,Working environment
104,Valeria,Parker,27,2,high school diploma,0,3,Economic
105,Sophia,Miller,19,0,high school diploma,1,1,Worker
106,Camila,Foster,28,3,high school diploma,0,0,healthcare
107,Blake,Baker,26,0,master degree,0,3,healthcare
108,Sarah,Riley,29,3,high school diploma,5,5,Informatics
109,Roland,Campbell,24,2,three-year degree,3,0,Economic
110,Alberta,Dixon,29,1,high school diploma,5,3,healthcare
111,Michelle,Watson,30,2,three-year degree,3,0,Instruction
112,Freddie,Gibson,22,0,high school diploma,1,0,Generic
113,Eddy,Warren,22,0,high school diploma,1,0,Informatics
114,Sophia,Warren,22,0,high school diploma,1,0,Worker
115,Martin,Riley,30,2,three-year degree,7,0,Informatics
116,Alexia,Stewart,29,3,compulsory school,5,3,Generic
117,Connie,Harrison,25,3,three-year degree,3,1,Instruction
118,Rubie,Richardson,27,1,high school diploma,0,0,Worker
119,Vincent,Lloyd,23,0,high school diploma,4,0,Worker
120,Tess,Myers,23,0,high school diploma,4,0,Informatics
121,Joyce,Spencer,26,1,high school diploma,0,5,Economic
122,Ryan,Ryan,27,1,three-year degree,0,0,Informatics
123,Eleanor,Payne,23,0,high school diploma,1,0,Worker
124,Briony,Richards,29,2,high school diploma,7,0,Economic
125,Rubie,Holmes,29,3,high school diploma,7,3,Instruction
126,Brooke,Bailey,23,0,high school diploma,0,0,Instruction
127,Nicholas,Carter,30,1,high school diploma,5,0,Informatics
128,Arthur,Gray,30,2,high school diploma,5,1,Generic
129,Abigail,Chapman,25,1,high school diploma,0,1,healthcare
130,Brad,Allen,30,0,high school diploma,8,3,Economic
131,Melanie,Gibson,18,0,high school diploma,1,0,Worker
132,Carl,Murphy,27,1,three-year degree,0,3,Informatics
133,Adelaide,Taylor,23,0,high school diploma,0,3,Generic
134,Lilianna,Williams,28,2,master degree,0,1,Informatics
135,Edith,Alexander,22,0,high school diploma,0,0,Economic
136,Amy,Evans,25,3,master degree,0,0,healthcare
137,Charlie,Gibson,20,0,high school diploma,0,0,Generic
138,Michael,Martin,25,1,compulsory school,0,2,Generic
139,Jared,Payne,29,3,three-year degree,3,9,Instruction
140,Florrie,Myers,21,0,high school diploma,1,0,Worker
141,Catherine,Stevens,25,2,high school diploma,0,0,Generic
142,Lyndon,Warren,19,0,high school diploma,1,1,Worker
143,Hailey,Myers,28,2,high school diploma,2,0,Instruction
144,Antony,Warren,24,1,high school diploma,0,2,Worker
145,Julian,Perkins,25,2,three-year degree,0,0,healthcare
146,Eddy,Nelson,29,1,three-year degree,5,5,Instruction
147,Alissa,Riley,18,0,high school diploma,0,0,Worker
148,Camila,Murray,19,0,high school diploma,0,0,Generic
149,Julian,Thomas,20,0,high school diploma,1,0,Economic
150,Dexter,Allen,26,1,high school diploma,0,0,healthcare
151,Catherine,Kelly,28,1,high school diploma,0,7,healthcare
152,Alexia,Morrison,22,0,three-year degree,0,0,Informatics
153,Ryan,Kelly,19,0,high school diploma,0,0,Economic
154,Rosie,Morrison,28,0,high school diploma,0,1,Informatics
155,Owen,Holmes,26,2,three-year degree,0,3,Informatics
156,Derek,Stevens,23,0,high school diploma,0,0,Economic
157,Jacob,Murphy,30,1,high school diploma,8,0,Generic
158,Savana,Harper,25,2,compulsory school,0,0,Worker
159,Natalie,Turner,28,0,compulsory school,0,1,Generic
160,Andrew,Parker,30,1,three-year degree,5,3,healthcare
161,Lucy,Wright,22,0,high school diploma,0,0,Worker
162,Aida,Gibson,18,0,high school diploma,1,0,Worker
163,Antony,Payne,27,2,three-year degree,0,0,Economic
164,Agata,Gray,18,0,high school diploma,0,0,Generic
165,Maximilian,Owens,18,0,high school diploma,1,0,Instruction
166,Victoria,Holmes,24,3,high school diploma,2,0,Worker
167,Stella,Morris,22,0,high school diploma,0,0,Generic
168,Hailey,Bailey,19,0,high school diploma,1,0,Generic
169,George,Thompson,22,0,high school diploma,1,0,Generic
170,Lucia,Carroll,18,0,high school diploma,0,1,Generic
171,Leonardo,Stewart,21,0,high school diploma,0,1,Generic
172,Mary,Hawkins,28,1,high school diploma,1,1,healthcare
173,Jasmine,Kelley,20,0,high school diploma,1,4,Generic
174,Jessica,Dixon,21,0,high school diploma,0,0,Worker
175,Alen,Adams,22,0,high school diploma,0,3,Economic
176,Kelsey,Ross,20,0,high school diploma,0,0,Generic
177,Richard,Wright,22,0,three-year degree,0,0,Instruction
178,Fenton,Stevens,22,0,three-year degree,0,1,Informatics
179,Adrianna,Kelley,25,3,high school diploma,0,0,Economic
180,Kelvin,Rogers,25,3,three-year degree,0,1,Informatics
181,Joyce,Scott,28,1,high school diploma,0,0,Economic
182,Adrian,Gray,26,3,high school diploma,2,3,Generic
183,Alford,Hawkins,20,0,high school diploma,0,0,Generic
184,Kelvin,Thomas,30,0,three-year degree,7,1,Economic
185,Ada,Thomas,25,2,three-year degree,0,0,Informatics
186,Edward,Murray,29,2,high school diploma,7,3,healthcare
187,Garry,Carroll,21,0,high school diploma,1,0,Generic
188,Sawyer,Ferguson,20,0,high school diploma,0,0,Generic
189,Wilson,Thompson,18,0,compulsory school,0,3,Generic
190,Daryl,Smith,22,0,high school diploma,0,1,Worker
191,Gianna,Edwards,20,0,high school diploma,0,0,Worker
192,Ashton,Cunningham,25,3,high school diploma,2,1,Economic
193,Jacob,Owens,20,0,high school diploma,1,0,Economic
194,Fiona,Roberts,26,2,three-year degree,2,3,Economic
195,Miley,Andrews,25,1,high school diploma,0,0,Informatics
196,Bruce,Hall,20,0,compulsory school,0,0,Worker
197,Nicole,Armstrong,23,0,high school diploma,0,2,Informatics
198,Ada,Hunt,21,0,compulsory school,0,0,Generic
199,Ellia,Thomas,20,0,high school diploma,1,0,Generic
200,Patrick,Phillips,40,0,high school diploma,12,15,Generic
201,Adison,Ellis,37,0,three-year degree,9,0,Instruction
202,Emily,Grant,38,1,master degree,12,9,Instruction
203,Alford,Ryan,40,1,high school diploma,3,15,Generic
204,Heather,West,33,0,high school diploma,7,1,Generic
205,Aldus,Sullivan,37,0,three-year degree,12,3,Economic
206,Samantha,Spencer,36,2,high school diploma,20,1,Generic
207,Jasmine,Russell,38,0,high school diploma,7,7,Generic
208,Amy,Scott,39,0,master degree,12,5,Informatics
209,Michelle,Dixon,38,0,high school diploma,9,3,Worker
210,Darcy,Holmes,31,1,master degree,7,1,Economic
211,Charlotte,Dixon,32,1,master,5,7,Economic
212,Leonardo,Thompson,37,2,three-year degree,20,7,Instruction
213,Dainton,Anderson,30,1,three-year degree,8,1,healthcare
214,Nicole,Warren,32,0,high school diploma,3,7,Generic
215,Alina,Rogers,38,2,three-year degree,7,12,Informatics
216,Natalie,Payne,33,1,three-year degree,3,3,Informatics
217,Amber,Sullivan,32,1,master,7,0,healthcare
218,Victor,Murphy,40,0,three-year degree,12,12,Informatics
219,Sam,Taylor,37,3,three-year degree,15,3,healthcare
220,Adele,Craig,39,3,high school diploma,12,15,Generic
221,Lydia,Ross,32,1,three-year degree,5,0,Economic
222,Oliver,Howard,38,3,high school diploma,12,12,Generic
223,Penelope,Stewart,35,1,master degree,12,3,Informatics
224,Daryl,Carter,30,1,three-year degree,8,3,Instruction
225,Marcus,Brown,31,2,high school diploma,7,0,Generic
226,Dominik,Evans,30,1,high school diploma,1,1,Worker
227,Sydney,Baker,35,0,master degree,15,0,Informatics
228,Lucy,Ryan,37,2,high school diploma,9,7,Economic
229,Anna,Farrell,30,2,compulsory school,7,1,Worker
230,Vanessa,Howard,36,2,high school diploma,9,0,Generic
231,Freddie,Baker,35,1,master degree,9,0,Informatics
232,Carina,Montgomery,35,0,high school diploma,12,0,Economic
233,Melissa,Watson,35,1,high school diploma,12,0,Generic
234,Michelle,Fowler,37,1,compulsory school,12,1,Generic
235,Maria,Cole,38,0,high school diploma,12,7,Generic
236,Maddie,Harris,30,0,master degree,5,3,healthcare
237,Sawyer,Cole,40,3,high school diploma,9,7,Generic
238,Miranda,Harris,30,1,high school diploma,0,0,Generic
239,Ada,Moore,34,1,high school diploma,12,1,Generic
240,Alexander,Murphy,31,2,high school diploma,3,3,Generic
241,Emma,Thomas,37,0,high school diploma,12,0,Generic
242,Edward,Cooper,31,3,master degree,5,1,healthcare
243,Sarah,Craig,30,1,high school diploma,7,7,Instruction
244,Kelvin,Taylor,36,0,three-year degree,9,0,Informatics
245,Sabrina,Andrews,39,3,high school diploma,12,0,Instruction
246,Lucia,Stevens,31,1,three-year degree,5,3,Informatics
247,Isabella,Cooper,30,0,three-year degree,7,0,healthcare
248,Jack,Gray,34,2,Ph.D,7,1,Informatics
249,Oliver,Jones,35,2,high school diploma,15,9,Generic
250,Adam,Montgomery,31,3,three-year degree,7,0,Instruction
251,Lydia,Perkins,40,3,three-year degree,9,1,healthcare
252,Grace,Johnson,40,3,high school diploma,9,5,Generic
253,Elian,Perkins,33,1,high school diploma,3,3,Generic
254,Wilson,Crawford,35,1,high school diploma,7,1,Generic
255,Paige,Murphy,33,2,Ph.D,7,1,healthcare
256,Victoria,Walker,31,2,high school diploma,7,0,Generic
257,Amelia,Evans,32,0,high school diploma,5,3,Generic
258,Briony,Myers,30,2,three-year degree,5,1,Economic
259,Henry,Douglas,33,2,three-year degree,0,3,healthcare
260,Ryan,Foster,40,2,three-year degree,9,1,healthcare
261,Byron,Cole,35,1,three-year degree,12,5,Instruction
262,Mary,Hamilton,38,2,master,5,3,Instruction
263,Kimberly,Williams,30,1,high school diploma,8,1,Informatics
264,John,Hamilton,40,1,Ph.D,12,3,Instruction
265,Fenton,Williams,34,0,high school diploma,7,3,Generic
266,Mary,Montgomery,34,0,master degree,12,1,Economic
267,Robert,Bennett,37,2,master degree,5,3,healthcare
268,Aida,Baker,37,3,master degree,9,0,healthcare
269,Mike,Davis,31,2,three-year degree,7,0,Economic
270,Roman,Gibson,33,1,master degree,7,0,Economic
271,Blake,Brooks,32,3,master degree,8,0,Instruction
272,Arthur,Wells,38,3,high school diploma,9,12,Generic
273,Patrick,Morrison,38,3,master,9,1,Instruction
274,Kellan,Thomas,35,1,master,20,1,Informatics
275,Cherry,Kelley,40,3,high school diploma,15,1,Worker
276,Savana,Douglas,37,3,high school diploma,15,1,Generic
277,Dominik,Richardson,34,3,high school diploma,7,0,Generic
278,Aston,Carroll,39,1,high school diploma,9,3,Generic
279,Adelaide,Barnes,36,3,master degree,9,1,healthcare
280,Alexia,Casey,39,1,master degree,9,7,Instruction
281,Alisa,Smith,35,1,high school diploma,7,0,Generic
282,Heather,Mitchell,30,0,three-year degree,7,0,Economic
283,Daryl,Cooper,38,1,high school diploma,9,12,Generic
284,Alexia,Johnston,34,3,high school diploma,12,1,Generic
285,Ashton,Ferguson,36,0,compulsory school,12,1,Worker
286,Harold,Carroll,37,2,high school diploma,7,1,Generic
287,Adrian,Warren,39,1,master degree,5,7,healthcare
288,Julia,Reed,30,0,high school diploma,7,0,Generic
289,Victor,Douglas,39,2,high school diploma,12,3,Generic
290,Alfred,Harrison,31,1,high school diploma,7,1,Generic
291,Patrick,Barrett,35,1,high school diploma,12,1,Generic
292,Edgar,Clark,30,1,high school diploma,8,3,Informatics
293,Isabella,Hawkins,35,3,high school diploma,12,1,Generic
294,Lana,Bailey,36,3,three-year degree,9,1,Economic
295,Alfred,Perry,40,1,three-year degree,9,7,Economic
296,Grace,Henderson,33,1,three-year degree,3,0,Informatics
297,Gianna,Cunningham,30,0,high school diploma,3,1,Informatics
298,Alexander,Sullivan,35,0,high school diploma,9,3,Generic
299,Elian,Watson,40,1,three-year degree,9,3,Instruction
300,Julia,Rogers,33,0,master,5,1,Informatics
301,Sabrina,Rogers,31,2,high school diploma,5,3,Worker
302,Brad,Roberts,37,0,high school diploma,9,5,healthcare
303,Kimberly,Thompson,33,2,high school diploma,3,0,Generic
304,Tony,Tucker,34,3,high school diploma,12,3,Worker
305,Alford,Alexander,34,2,three-year degree,9,0,Informatics
306,Aldus,Lloyd,39,0,master,12,3,Informatics
307,Lenny,Scott,33,2,high school diploma,8,0,Economic
308,Brooke,Miller,36,1,three-year degree,9,0,Informatics
309,Sydney,Henderson,35,3,high school diploma,12,5,Generic
310,Blake,Payne,39,3,three-year degree,1,12,Informatics
311,Honey,Harper,40,2,master,7,7,Economic
312,Alexander,Armstrong,38,1,three-year degree,5,7,Instruction
313,Penelope,Barnes,36,2,compulsory school,12,3,Worker
314,Michael,Alexander,35,2,Ph.D,9,5,healthcare
315,Roman,Barrett,31,0,compulsory school,5,0,Generic
316,Frederick,Brown,40,1,high school diploma,12,0,Worker
317,James,Riley,37,0,master degree,5,0,healthcare
318,Tess,Allen,36,0,high school diploma,9,3,Generic
319,Alan,Hunt,30,3,compulsory school,5,0,Generic
320,Ellia,Howard,37,0,high school diploma,12,0,Generic
321,Thomas,Warren,39,1,compulsory school,9,5,Worker
322,Alan,Campbell,35,2,compulsory school,20,0,Worker
323,Thomas,Russell,33,1,high school diploma,7,1,Generic
324,Fenton,Russell,31,2,high school diploma,7,0,Generic
325,Leonardo,Mason,34,2,master,12,3,Economic
326,Eddy,Elliott,40,1,compulsory school,15,3,Generic
327,Chester,Allen,40,2,compulsory school,9,3,Worker
328,Maximilian,Chapman,37,3,master,9,5,Informatics
329,Kristian,Ross,35,1,high school diploma,9,1,Generic
330,Alisa,Casey,35,3,three-year degree,9,1,Economic
331,Jessica,Ellis,35,0,compulsory school,12,1,Generic
332,Owen,Williams,34,2,three-year degree,12,0,healthcare
333,Aiden,Sullivan,38,1,high school diploma,12,3,Instruction
334,Alexander,Harris,40,1,three-year degree,12,9,Instruction
335,Haris,Payne,31,1,high school diploma,7,3,Generic
336,Dainton,Harper,38,0,high school diploma,7,9,Generic
337,Lydia,Fowler,40,3,master degree,12,15,healthcare
338,Catherine,Robinson,34,3,high school diploma,12,3,Worker
339,Aida,Richards,35,2,high school diploma,12,3,Generic
340,Sydney,Thomas,37,1,high school diploma,15,3,Generic
341,Julian,Hill,30,2,three-year degree,3,0,Informatics
342,Aston,Armstrong,35,1,high school diploma,12,3,Generic
343,Natalie,Ferguson,33,1,three-year degree,7,0,Informatics
344,Maya,Craig,32,2,high school diploma,1,5,Generic
345,Edith,Reed,35,3,three-year degree,3,1,healthcare
346,David,Craig,30,0,high school diploma,5,3,Informatics
347,Fenton,Hall,33,2,three-year degree,7,0,Informatics
348,Amanda,Phillips,32,1,high school diploma,5,0,Generic
349,Dale,Evans,36,0,high school diploma,12,5,Economic
350,Penelope,Ellis,35,2,high school diploma,20,3,Economic
351,Leonardo,Henderson,37,2,high school diploma,15,1,Generic
352,Steven,Murphy,38,2,Ph.D,12,5,Informatics
353,Adele,Wells,37,3,high school diploma,7,3,Informatics
354,Aiden,Morrison,33,0,three-year degree,5,5,Instruction
355,Adrian,Parker,37,0,high school diploma,3,3,Worker
356,Alfred,Sullivan,37,0,high school diploma,9,9,Worker
357,Myra,Grant,37,0,high school diploma,12,1,Informatics
358,Vivian,Nelson,39,2,master degree,15,12,Informatics
359,Victoria,Myers,33,0,three-year degree,8,7,healthcare
360,Antony,Carroll,34,2,compulsory school,12,7,Worker
361,Lucy,Perkins,35,3,high school diploma,12,0,Generic
362,James,Watson,35,3,three-year degree,15,3,healthcare
363,John,Montgomery,30,3,high school diploma,7,0,Generic
364,Richard,Clark,40,2,high school diploma,20,9,Generic
365,Honey,Owens,40,3,three-year degree,5,7,Informatics
366,John,Crawford,30,1,high school diploma,5,9,Worker
367,Belinda,Anderson,32,1,high school diploma,7,3,Generic
368,Melissa,Allen,32,1,compulsory school,7,1,Worker
369,Adrianna,Grant,30,0,compulsory school,5,0,Worker
370,Daryl,Perry,37,3,high school diploma,0,1,Instruction
371,Rubie,Roberts,37,3,high school diploma,9,0,Economic
372,Emma,Adams,31,1,high school diploma,7,3,Economic
373,Samantha,Robinson,37,1,high school diploma,15,1,healthcare
374,Edwin,Hawkins,37,2,high school diploma,12,0,Generic
375,Miranda,Walker,30,2,high school diploma,7,3,Worker
376,Dale,Perkins,31,3,high school diploma,5,0,Generic
377,Alexia,Myers,35,3,three-year degree,12,1,Informatics
378,Tara,Anderson,33,0,three-year degree,7,0,healthcare
379,Aston,Barrett,33,2,high school diploma,7,3,Economic
380,Luke,Adams,34,3,high school diploma,20,3,Generic
381,Cadie,Harris,32,0,high school diploma,7,0,Generic
382,Belinda,Payne,36,3,three-year degree,9,0,healthcare
383,Dainton,Cunningham,31,2,high school diploma,7,1,Worker
384,David,Moore,36,2,compulsory school,12,7,Worker
385,Andrew,Crawford,30,1,high school diploma,7,1,healthcare
386,Clark,Riley,33,2,three-year degree,5,0,healthcare
387,Preston,Johnson,34,1,three-year degree,3,3,healthcare
388,Roland,Williams,32,2,master degree,7,3,Instruction
389,Maya,Harris,40,0,master degree,12,1,Instruction
390,Brad,Rogers,33,1,master,5,1,healthcare
391,Kate,Montgomery,37,3,three-year degree,9,7,Economic
392,George,Brooks,35,0,three-year degree,15,1,Informatics
393,Carl,Armstrong,34,3,high school diploma,12,3,Generic
394,Abraham,Robinson,30,1,high school diploma,7,3,Informatics
395,Mike,Nelson,30,3,high school diploma,5,0,Worker
396,James,Douglas,30,1,high school diploma,3,3,Instruction
397,Rebecca,Edwards,40,0,three-year degree,12,3,Economic
398,Fiona,Farrell,32,2,high school diploma,8,1,Informatics
399,Fenton,Nelson,35,3,high school diploma,5,9,Generic
400,Valeria,Casey,37,1,master degree,9,7,Instruction
401,Adele,Kelley,31,2,master,7,1,Economic
402,Max,Barnes,37,1,compulsory school,12,3,Worker
403,Kristian,Hawkins,35,0,high school diploma,9,0,Instruction
404,Maddie,Stevens,35,2,Ph.D,9,0,Economic
405,Elian,Moore,39,2,high school diploma,9,7,Generic
406,Frederick,Kelly,40,3,master degree,12,9,Economic
407,Nicholas,Lloyd,38,2,high school diploma,12,9,Generic
408,Jack,Barrett,30,2,high school diploma,0,1,Worker
409,Sabrina,Ferguson,39,2,high school diploma,9,3,Generic
410,Tony,Hall,32,0,high school diploma,7,0,Worker
411,Sabrina,Wells,39,1,high school diploma,12,15,Worker
412,Nicole,Payne,39,0,three-year degree,9,7,healthcare
413,Alina,Dixon,39,0,high school diploma,12,3,Generic
414,Paul,Walker,39,0,high school diploma,9,3,Generic
415,Spike,Bailey,33,3,high school diploma,5,1,Generic
416,Vanessa,Moore,33,2,master degree,8,1,Economic
417,Victoria,Taylor,40,0,high school diploma,12,9,Generic
418,Florrie,Wright,33,3,compulsory school,8,1,Worker
419,Maddie,Brooks,36,2,high school diploma,7,0,Generic
420,Michael,Bailey,37,0,compulsory school,15,0,Worker
421,James,Mitchell,37,2,high school diploma,20,3,Generic
422,Rosie,Martin,38,0,high school diploma,15,5,Worker
423,Frederick,Adams,33,3,master degree,5,1,Economic
424,Albert,Smith,39,3,master,9,7,healthcare
425,Brianna,Ferguson,35,3,high school diploma,15,0,Informatics
426,Aiden,Kelly,37,3,high school diploma,9,5,Worker
427,Daniel,Elliott,32,0,three-year degree,5,0,Economic
428,Jordan,Myers,30,2,three-year degree,5,0,Economic
429,Adelaide,Andrews,39,3,high school diploma,15,9,Economic
430,Lucy,Fowler,31,0,three-year degree,7,3,Informatics
431,Jasmine,Brown,38,1,high school diploma,9,3,Generic
432,Violet,Richards,38,2,high school diploma,7,7,Generic
433,Paige,Warren,39,3,high school diploma,12,5,Generic
434,Roman,Thomas,30,1,master,3,0,healthcare
435,Roman,Tucker,30,0,high school diploma,1,0,Economic
436,Audrey,Martin,30,1,high school diploma,8,5,healthcare
437,Brad,Dixon,34,3,high school diploma,20,5,Generic
438,Amelia,Sullivan,38,2,high school diploma,9,20,Generic
439,Alen,Hunt,31,1,three-year degree,8,7,Economic
440,Dale,Ellis,38,3,compulsory school,15,3,Generic
441,Fenton,Miller,32,1,high school diploma,1,9,Generic
442,John,Phillips,39,2,high school diploma,9,3,Generic
443,Jenna,Jones,38,1,high school diploma,12,3,Generic
444,Victoria,Jones,33,3,master,7,1,Informatics
445,Jasmine,Reed,35,2,high school diploma,9,5,Worker
446,Tony,Fowler,31,1,master,5,3,Instruction
447,Harold,Reed,38,2,high school diploma,12,1,Generic
448,Patrick,Taylor,40,0,high school diploma,9,15,Generic
449,Vincent,Hamilton,34,3,high school diploma,12,3,Instruction
450,Lilianna,Jones,33,3,high school diploma,0,0,Generic
451,Sarah,Watson,35,0,high school diploma,9,5,Generic
452,Kevin,Cunningham,33,1,high school diploma,8,1,Generic
453,Brooke,Henderson,33,1,three-year degree,7,7,healthcare
454,Daisy,Brown,32,2,high school diploma,7,3,Generic
455,Rosie,Gibson,30,2,high school diploma,5,0,Informatics
456,Arianna,Nelson,33,1,three-year degree,8,3,Informatics
457,Jasmine,Gibson,30,3,high school diploma,3,1,Worker
458,Owen,Henderson,35,3,master degree,15,0,Instruction
459,Alberta,Reed,33,0,high school diploma,7,3,Generic
460,Audrey,Ellis,37,1,three-year degree,9,1,Economic
461,Dexter,Brooks,33,0,high school diploma,7,1,Generic
462,Garry,Perry,38,3,three-year degree,9,3,Instruction
463,Stella,Walker,36,0,compulsory school,15,0,Worker
464,Lenny,Nelson,36,1,high school diploma,12,1,Generic
465,Grace,Thomas,32,3,high school diploma,7,0,Generic
466,Sydney,Nelson,38,1,three-year degree,15,3,Instruction
467,Adelaide,Moore,32,3,three-year degree,7,0,healthcare
468,Kelvin,Anderson,30,0,compulsory school,3,0,Generic
469,Aston,Alexander,36,3,high school diploma,3,7,Generic
470,Steven,Wells,31,0,three-year degree,0,3,Instruction
471,Sabrina,Barrett,33,0,Ph.D,1,3,Informatics
472,Alexander,Gray,38,0,compulsory school,20,5,Worker
